token	lemma	pos
ghewelt	geweld	n(sing)

eyghindoem	eigendom	n(sing)	
es	zijn	v(fin,pres,aux_cop)	
comen	komen	v(participle,past)

alse	als	conj(comp)	
een	een	art(indef)	
prinche	prins	n(sing)	
verwan	verwinnen	v(fin,past,lex)	
wijch	wijg	n(sing)	
vp	op	adp()	
tvelt	het+veld	art(def)+n(sing)

ende	en	conj(coord)	
sine	zijn	pron(poss)	
viande	vijand	n(plu)	
hadde	hebben	v(fin,past,aux_cop)	
gheuelt	vellen	v(participle,past)

dat	dat	pron(dem)	
hiet	heten	v(fin,past,aux_cop)	
hi	hij	pron(pers,3,sing)	
verdoemen	verdoemen	v(infin)

ende	en	conj(coord)	
vercopen	verkopen	v(infin)	
omme	om	adp()	
ghelt	geld	n(sing)

dits	dit+zijn	pron(dem)+v(fin,pres,aux_cop)	
volc	volk	n(sing)	
dat	dat	pron(rel)	
men	men	pron(indef)	
noch	nog	adv(gener)	
eyghin	eigen	adj()	
telt	tellen	v(fin,pres,lex)

ende	en	conj(coord)	
men	men	pron(indef)	
scalc	schalk	n(sing)	
hort	horen	v(fin,pres,lex)	
noemen	noemen	v(infin)

natuere	natuur	n(sing)	
gaet	gaan	v(fin,pres,lex)	
haren	haar	pron(poss)	
rechten	recht	adj()	
telt	telt	n(sing)

maer	maar	conj(coord)	
auenture	avontuur	n(sing)	
wast	wassen	pron(pers,3,sing)+v(fin,past,aux_cop)	
ende	en	conj(coord)	
snelt	snellen	v(fin,pres,lex)

meneghen	menig	num(indef)	
te	te	adp()	
vromen	vroom	n(sing)

ende	en	conj(coord)	
tonneeren	te+oneer	adp()+n(sing)	
hem	hij	pron(pers,3,plu)	
somen	som	pron(indef)

god	god	n(sing)	
ghedoghet	gedogen	v(fin,pres,lex)	
om	om	adp()	
onse	ons	pron(poss)	
mesdaet	misdaad	n(sing)

dat	dat	conj(subord)	
een	een	art(indef)	
gheslachte	geslacht	n(sing)	
neder	neder	adv(gener)	
gaet	gaan	v(fin,pres,lex)

ende	en	conj(coord)	
een	een	art(indef)	
ander	ander	pron(indef)	
riset	rijzen	v(fin,pres,lex)

wie	wie	pron(inter)	
mach	mogen	v(fin,pres,aux_cop)	
weten	weten	v(infin)	
sinen	zijn	pron(poss)	
staet	staat	n(sing)

hi	hij	pron(pers,3,sing)	
weet	weten	v(fin,pres,lex)	
wiene	wie+hij	pron(rel)+pron(pers,3,sing)	
mint	minnen	v(fin,pres,lex)	
of	of	conj(coord)	
haet	haten	v(fin,pres,lex)

die	die	pron(rel)	
aldie	al+de	art(def)+adj()	
weerelt	wereld	n(sing)	
spiset	spijzen	v(fin,pres,lex)

die	die	pron(rel)	
meest	meest	adv(gener)	
tsinen	te+zijn	adp()+pron(poss)	
dienste	dienst	n(sing)	
staet	staan	v(fin,pres,lex)

men	men	pron(indef)	
siet	zien	v(fin,pres,lex)	
dat	dat	conj(subord)	
sijn	zijn	pron(poss)	
oyr	oir	n(sing)	
ende	en	conj(coord)	
sijn	zijn	pron(poss)	
saet	zaad	n(sing)

meest	meest	adv(gener)	
in	in	adp()	
die	de	art(def)	
eere	eer	n(sing)	
gheriset	gerijzen	v(fin,pres,lex)

dan	dan	conj(comp)	
alse	als	conj(subord)	
tfolc	het+volk	art(def)+n(sing)	
wert	worden	v(fin,pres,aux_cop)	
so	zo	adv(dem)	
quaet	kwaad	adj()

dat	dat	conj(subord)	
die	de	art(def)	
wet	wet	n(sing)	
gods	god	n(prop)	
versmaet	versmaden	v(fin,pres,lex)

wert	worden	v(fin,pres,aux_cop)	
het	het	pron(pers,3,sing)	
te	te	adp()	
valle	val	n(sing)	
ghewiset	wijzen	v(participle,past)

ende	en	conj(coord)	
van	van	adp()	
niemene	niemand	pron(indef)	
ghepriset	prijzen	v(participle,past)

mine	ik+ne	pron(pers,1,sing)+adv(neg)	
rouc	roeken	v(fin,pres,lex)	
wiene	wie+hij	pron(rel)+pron(pers,3,sing)	
drouch	dragen	v(fin,past,lex)	
of	of	conj(coord)	
wan	winnen	v(fin,past,lex)

daer	daar	adv(dem)	
trouwe	trouw	n(sing)	
ende	en	conj(coord)	
doghet	deugd	n(sing)	
es	zijn	v(fin,pres,aux_cop)	
an	aan	adp()

ende	en	conj(coord)	
reene	rein	adj()	
es	zijn	v(fin,pres,aux_cop)	
van	van	adp()	
seden	zede	n(plu)

huut	uit	adp()	
wat	wat	pron(inter)	
lande	land	n(sing)	
dat	dat	pron(rel)	
hi	hij	pron(pers,3,sing)	
ran	rinnen	v(fin,past,lex)

dats	dat+zijn	pron(dem)+v(fin,pres,aux_cop)	
dien	die	pron(rel)	
ic	ik	pron(pers,1,sing)	
der	de	art(def)	
namen	naam	n(plu)	
an	aan	adp()

vander	van+de	adp()+art(def)	
edelheden	edelheid	n(sing)

al	al	conj(subord)	
vercochtmen	verkopen+men	v(fin,past,lex)+pron(indef)	
selken	zulk	pron(dem)	
man	man	n(sing)

hens	het+en+zijn	pron(pers,3,sing)+conj(neg)+v(fin,pres,lex)	
niemen	niemand	pron(indef)	
die	die	pron(rel)	
hem	hij	pron(pers,3,sing)	
gherouen	geroven	v(infin)	
can	kunnen	v(fin,pres,aux_cop)

siere	zijn	pron(poss)	
doghedachticheden	deugdachtigheid	n(sing)

mi	ik	pron(pers,1,sing)	
dincke	dunken	v(fin,pres,lex)	
dat	dat	conj(subord)	
edelheit	edelheid	n(sing)	
began	beginnen	v(fin,past,lex)

huter	uit+de	adp()+art(def)	
reinre	rein	adj()	
herten	hart	n(sing)	
dan	dan	adv(dem)

met	met	adp()	
dogheden	deugd	n(plu)	
besneden	besnijden	v(participle,past)

ende	en	conj(coord)	
beghint	beginnen	v(fin,pres,lex)	
noch	nog	adv(gener)	
heden	heden	adv(gener)

martijn	martijn	n(prop)	
oftu	of+du	conj(subord)+pron(pers,2,sing)	
clemmen	klimmen	v(infin)	
wout	willen	v(fin,past,aux_cop)

ter	te+de	adp()+art(def)	
edelheit	edelheid	n(sing)	
drie	drie	num(card)	
pointe	punt	n(plu)	
hout	houden	v(imp)

die	die	pron(rel)	
jc	ik	pron(pers,1,sing)	
di	du	pron(pers,2,sing)	
sal	zullen	v(fin,pres,aux_cop)	
leeren	leren	v(infin)

wes	wezen	v(imp)	
nerachtich	neerachtig	adj()	
ende	en	conj(coord)	
minne	minnen	v(imp)	
niet	niet	adv(neg)	
tgout	het+goud	art(def)+n(sing)

wes	wezen	v(imp)	
eerachtich	eerachtig	adj()	
menich+fout	menigvoud	num(indef)

dese	deze	pron(dem)	
twee	twee	num(card)	
hout	houden	v(imp)	
niet	niet	adv(neg)	
vor	voor	adp()	
sceren	scheren	n(sing)

wes	wezen	v(imp)	
werachtich	weerachtig	adj()	
ende	en	conj(coord)	
stout	stout	adj()

dese	deze	pron(dem)	
drie	drie	num(card)	
pointe	punt	n(plu)	
vaste	vast	adj()	
hout	houden	v(imp)

so	zo	adv(resum)	
bestu	zijn+du	v(fin,pres,aux_cop)+pron(pers,2,sing)	
vul	vol	adj()	
eeren	eer	n(sing)

hennes	het+ne+zijn	pron(pers,3,sing)+adv(neg)+v(fin,pres,lex)	
niemen	niemand	pron(indef)	
jonc	jong	adj()	
no	no	conj(coord)	
out	oud	adj()

dien	die	pron(rel)	
du	du	pron(pers,2,sing)	
scal	schalk	n(sing)	
dan	dan	conj(comp)	
dincken	dunken	v(infin)	
sout	zullen	v(fin,past,aux_cop)

sonder	zonder	adp()	
die	de	art(def)	
weldaet	weldaad	n(sing)	
deeren	deren	v(infin)

ende	en	conj(coord)	
doghet	deugd	n(sing)	
tondogheden	te+ondeugd	adp()+n(sing)	
keeren	keren	v(infin)

vvaerheit	waarheid	adv(gener)	
jacop	jacob	n(prop)	
ic	ik	pron(pers,1,sing)	
hebbe	hebben	v(fin,pres,aux_cop)	
verstaen	verstaan	v(participle,past)

vut	uit	adp()	
dinen	dijn	pron(poss)	
monde	mond	n(sing)	
redene	reden	n(sing)	
gaen	gaan	v(infin)

vul	vol	adj()	
rechtre	recht	adj()	
waerhede	waarheid	n(sing)

al	al	conj(subord)	
spreect	spreken	v(fin,pres,lex)	
in	in	adp()	
sinen	zijn	pron(poss)	
bouc	boek	n(sing)	
alaen	alan	n(prop)

dat	dat	conj(subord)	
edelheit	edelheid	n(sing)	
quam	komen	v(fin,past,lex)	
sonder	zonder	adp()	
waen	waan	n(sing)

van	van	adp()	
verhouderder	verouden	adj()	
rijcheden	rijkheid	n(sing)

die	de	art(def)	
delheit	edelheid	n(sing)	
mach	mogen	v(fin,pres,aux_cop)	
men	men	pron(indef)	
af+dwaen	afdwaan	v(infin)

wertmen	worden+men	v(fin,past,aux_cop)+pron(indef)	
arem	arm	adj()	
so	zo	adv(resum)	
eist	zijn+het	v(fin,pres,aux_cop)+pron(pers,3,sing)	
ghedaen	doen	v(participle,past)

men	men	pron(indef)	
valt	vallen	v(fin,pres,lex)	
in	in	adp()	
doude	de+oud	art(def)+adj()	
steden	stad	n(sing)

maer	maar	conj(coord)	
reene	rein	adj()	
edelheit	edelheid	n(sing)	
dats	dat+zijn	pron(dem)+v(fin,pres,aux_cop)	
i	een	art(indef)	
traen	traan	n(sing)

die	die	pron(rel)	
dorper	dorper	adj()	
herte	hart	n(sing)	
nie	niet	adv(neg)	
conste	kunnen	v(fin,past,aux_cop)	
ontfaen	ontvangen	v(infin)

die	die	pron(dem)	
gheuet	geven	v(fin,pres,lex)	
dor	door	adp()	
smeinschen	de+mens	art(def)+n(sing)	
beden	bede	n(plu)

god	god	n(prop)	
in	in	adp()	
sire	zijn	pron(poss)	
miltheden	mildheid	n(sing)

iacop	jacob	n(prop)	
ic	ik	pron(pers,1,sing)	
hore	horen	v(fin,pres,lex)	
an	aan	adp()	
dine	dijn	pron(poss)	
wort	woord	n(sing)

dat	dat	conj(subord)	
alle	al	pron(indef)	
menschelike	menselijk	adj()	
ghebort	geboorte	n(sing)

van	van	adp()	
adame	adam	n(prop)	
begonde	beginnen	v(fin,past,lex)

hoe	hoe	adv(inter)	
es	zijn	v(fin,pres,aux_cop)	
die	de	art(def)	
maechscap	maagschap	n(sing)	
so	zo	adv(resum)	
te+stort	testoren	v(participle,past)

dat	dat	conj(subord)	
deen	de+een	art(def)+num(card)	
den	de	art(def)	
andren	ander	pron(indef)	
vermort	vermoorden	v(fin,pres,lex)

dits	dit+zijn	pron(dem)+v(fin,pres,aux_cop)	
iammer	jammer	n(sing)	
ende	en	conj(coord)	
sonde	zonde	n(sing)

nijt	nijd	adv(neg)	
es	zijn	v(fin,pres,aux_cop)	
weder	weder	adv(gener)	
ende	en	conj(coord)	
voort	voort	adv(gener)

meester	meester	n(sing)	
int	in+het	adp()+art(def)	
lant	land	n(sing)	
ende	en	conj(coord)	
in	in	adp()	
die	de	art(def)	
port	poort	n(sing)

tfolc	dat+volk	art(def)+n(sing)	
es	zijn	v(fin,pres,aux_cop)	
worden	worden	v(participle,past)	
honde	hond	n(sing)

sech	zeggen	v(imp)	
mi	ik	pron(pers,1,sing)	
alse	als	conj(subord)	
diet	die+het	pron(rel)+pron(pers,3,sing)	
gherne	gaarne	adv(gener)	
hort	horen	v(fin,pres,lex)

te	te	adp()	
vraghene	vragen	v(infin)	
bem	zijn	v(fin,pres,aux_cop)	
ic	ik	pron(pers,1,sing)	
becoort	bekoren	v(participle,past)

alse	als	conj(subord)	
diet	die+het	pron(rel)+pron(pers,3,sing)	
gherne	gaarne	adv(gener)	
onder+vonde	ondervinden	v(fin,past,lex)

van	van	adp()	
beghinne	begin	n(sing)	
ten	te+de	adp()+art(def)	
gronde	grond	n(sing)

martin	martijn	n(prop)	
houerde	hovaart	n(sing)	
ende	en	conj(coord)	
nijt	nijd	adv(neg)

entie	en+de	conj(coord)+art(def)	
alre+eerste	allereerst	adj()	
strijt	strijd	n(sing)

begonste	beginnen	v(fin,past,lex)	
in	in	adp()	
hemelrike	hemelrijk	n(sing)

alse	als	adv(dem)	
lucifer	lucifer	n(prop)	
te	te	adp()	
sire	zijn	pron(poss)	
ontijt	ontijd	n(sing)

inden	in+de	adp()+art(def)	
hemelschen	hemels	adj()	
delijt	delijt	n(sing)

wilde	willen	v(fin,past,aux_cop)	
sijn	zijn	v(infin)	
gods	god	n(sing)	
ghelike	gelijke	n(sing)

daer	daar	adv(dem)	
viel	vallen	v(fin,past,lex)	
hi	hij	pron(pers,3,sing)	
inden	in+de	art(def)+adp()	
helschen	hels	adj()	
bijt	bijt	n(sing)

daer	daar	adv(rel)	
hi	hij	pron(pers,3,sing)	
nemmermeer	nimmermeer	adv(gener)	
en	ne	adv(neg)	
slijt	slijten	v(fin,pres,lex)

maer	maar	conj(coord)	
bliuet	blijven	v(fin,pres,lex)	
eewelike	eeuwelijk	adv(gener)

nu	nu	adv(dem)	
sent	zenden	v(fin,pres,lex)	
hi	hij	pron(pers,3,sing)	
dor	door	adp()	
die	de	art(def)	
weerelt	wereld	n(sing)	
wijt	wijd	adj()

mijn	mijn	pron(poss)	
venijn	venijn	n(sing)	
ende	en	conj(coord)	
sijn	zijn	pron(poss)	
vlijt	vlijt	n(sing)

ende	en	conj(coord)	
wille	willen	v(fin,pres,lex)	
dat	dat	conj(subord)	
het	het	pron(pers,3,sing)	
blike	blijken	v(fin,pres,lex)

alset	als+het	conj(comp)+pron(pers,3,sing)	
doet	doen	v(fin,pres,lex)	
iammerlike	jammerlijk	adv(gener)

twee	twee	num(card)	
worde	woord	n(plu)	
in	in	adp()	
die	de	art(def)	
weerelt	wereld	n(sing)	
sijn	zijn	v(infin)

dats	dat+zijn	pron(dem)+v(fin,pres,aux_cop)	
alleene	alleen	adv(gener)	
mijn	mijn	pron(poss)	
ende	en	conj(coord)	
dijn	dijn	pron(poss)

mochtmen	mogen+men	v(fin,past,aux_cop)+pron(indef)	
die	die	pron(rel)	
verdriuen	verdrijven	v(infin)

pays	pais	n(sing)	
ende	en	conj(coord)	
vrede	vrede	n(sing)	
bleue	blijven	v(fin,past,lex)	
fijn	fijn	adj()

het	het	pron(pers,3,sing)	
ware	zijn	v(fin,past,aux_cop)	
al	al	pron(indef)	
vri	vrij	adj()	
ende	en	conj(coord)	
niemen	niemand	pron(indef)	
eyghijn	eigen	adj()

manne	man	n(plu)	
metten	met+de	adp()+art(def)	
wiuen	wijf	n(plu)

het	het	pron(pers,3,sing)	
war	zijn	v(fin,past,aux_cop)	
ghemeene	gemeen	adj()	
tarwe	tarwe	n(sing)	
ende	en	conj(coord)	
wijn	wijn	n(sing)

ouer	over	adp()	
zee	zee	n(sing)	
noch	noch	conj(coord)	
vpten	op+de	adp()+art(def)	
rijn	rijn	n(prop)

ne	ne	adv(neg)	
soudemen	zullen+men	v(fin,past,aux_cop)+pron(indef)	
niemen	niemand	pron(indef)	
ontliuen	ontlijven	v(infin)

nu	nu	adv(dem)	
benemet	benemen	v(imp)	
dat	dat	art(def)	
venijn	venijn	n(sing)

van	van	adp()	
ghiericheden	gierigheid	n(sing)	
dit	dit	pron(dem)	
martijn	martin	n(prop)

ende	en	conj(coord)	
doet	doen	v(fin,pres,aux_cop)	
al	al	num(indef)	
achtre+bliuen	achterblijven	v(infin)

ende	en	conj(coord)	
ander	ander	adj()	
loy	looi	n(sing)	
bescriuen	beschrijven	v(infin)

god	god	n(sing)	
diet	die+het	pron(rel)+pron(pers,3,sing)	
al	al	adv(gener)	
bi	bij	adp()	
redenen	reden	n(plu)	
doet	doen	v(fin,pres,lex)

gaf	geven	v(fin,past,lex)	
dat	dat	art(def)	
wandel	wandel	adj()	
herdsche	aards	adj()	
goet	goed	n(sing)

der	de	art(def)	
menscheit	mensheid	n(sing)	
ghemeene	gemeen	adj()

dattere	dat+er	pron(rel)+pronadv(pers)	
mede	mede	adv(gener)	
ware	zijn	v(fin,past,aux_cop)	
ghevoet	voeden	v(participle,past)

ende	en	conj(coord)	
ghecleet	kleden	v(participle,past)	
ende	en	conj(coord)	
ghescoet	geschut	v(participle,past)

ende	en	conj(coord)	
leuen	leven	v(infin)	
souden	zullen	v(fin,past,aux_cop)	
reene	rein	adj()

nu	nu	adv(dem)	
es	zijn	v(fin,pres,aux_cop)	
ghiericheit	gierigheid	n(sing)	
so	zo	adv(gener)	
verwoet	verwoed	adj()

dat	dat	conj(subord)	
elc	elk	num(indef)	
settet	zetten	v(fin,pres,lex)	
sinen	zijn	pron(poss)	
moet	moed	n(sing)

omme	om	adp()	
al	al	adv(gener)	
te	te	adp()	
hebbene	hebben	v(infin)	
alleene	alleen	adv(gener)

hier+omme	hierom	pronadv(dem)	
stordmen	storten+men	v(fin,pres,lex)+pron(indef)	
menschen	mens	n(plu)	
bloet	bloed	n(sing)

hier+omme	hierom	pronadv(dem)	
stichtmen	stichten+men	v(fin,pres,lex)+pron(indef)	
metter	met+de	adp()+art(def)	
spoet	spoed	n(sing)

borghe	burcht	n(plu)	
ende	en	conj(coord)	
hoghe	hoog	adj()	
steene	steen	n(plu)

meneghen	menig	num(indef)	
te	te	adp()	
weene	wenen	v(infin)

iacop	jacob	n(prop)	
ic	ik	pron(pers,1,sing)	
hebbe	hebben	v(fin,pres,aux_cop)	
wel	wel	adv(gener)	
verstaen	verstaan	v(infin)

dat	dat	conj(subord)	
het	het	pron(pers,3,sing)	
waer	waar	adj()	
es	zijn	v(fin,pres,aux_cop)	
sonder	zonder	adp()	
waen	waan	n(sing)

dattu	dat+du	conj(subord)+pron(pers,2,sing)	
hier	hier	adv(dem)	
heues	hebben	v(fin,pres,aux_cop)	
ontbonden	ontbinden	v(participle,past)

goets	goed	n(sing)	
es	zijn	v(fin,pres,aux_cop)	
ghenouch	genoeg	adv(gener)	
lietment	laten+men+het	v(fin,pres,aux_cop)+pron(indef)+pron(pers,3,sing)	
gaen	gaan	v(infin)

int	in+dat	adp()+art(def)	
ghemeene	gemeen	n(sing)	
ende	en	conj(coord)	
hem	hij	pron(pers,3,sing)	
ontfaen	ontvangen	v(participle,past)

die	de	pron(rel)	
arem	arm	adj()	
worden	worden	v(fin,past,aux_cop)	
vonden	vinden	v(participle,past)

dus	dus	adv(dem)	
viele	vallen	v(fin,past,lex)	
alle	al	pron(indef)	
orloghe	oorlog	n(plu)	
saen	zaan	adv(gener)

dus	dus	adv(dem)	
mochtmen	mogen+men	v(fin,past,aux_cop)+pron(indef)	
die	de	art(def)	
zielen	ziel	n(sing)	
dwaen	dwaan	v(infin)

ende	en	conj(coord)	
claren	klaren	v(infin)	
vanden	van+de	adp()+art(def)	
sonden	zonde	n(plu)

miltheit	mildheid	n(sing)	
heeft	hebben	v(fin,pres,aux_cop)	
hare	haar	pron(poss)	
macht	macht	n(sing)	
ghedaen	doen	v(participle,past)

vrecheit	vrekheid	n(sing)	
leert	leren	v(fin,pres,lex)	
die	de	art(def)	
weerelt	wereld	n(sing)	
vlaen	vlaan	v(infin)

dit	dit	pron(dem)	
proeuen	proeven	v(infin)	
ende	en	conj(coord)	
orconden	oorkonden	v(infin)

die	de	art(def)	
minres	minnaar	n(plu)	
vanden	van+de	adp()+art(def)	
ponden	pond	n(plu)

iacop	jacob	n(prop)	
eene	een	art(indef)	
dinc	ding	n(sing)	
mac	mogen	v(imp)	
mi	ik	pron(pers,1,sing)	
cont	kond	adj()

alse	als	conj(subord)	
die	de	art(def)	
mensche	mens	n(sing)	
es	zijn	v(fin,pres,aux_cop)	
ghewont	wonden	v(participle,past)

van	van	adp()	
gherechtre	gerecht	adj()	
minnen	min	n(sing)

doet	doen	v(fin,pres,lex)	
der	de	art(def)	
oghen	oog	n(plu)	
wandel	wandel	adj()	
vont	vond	n(sing)

al	al	conj(coord)	
comet	komen	v(fin,pres,lex)	
vter	uit+de	adp()+art(def)	
herten	hart	n(sing)	
gront	grond	n(sing)

dit	dit	pron(dem)	
euel	euvel	n(sing)	
te	te	adp()	
beghinne	begin	n(sing)

ic	ik	pron(pers,1,sing)	
liet	laten	v(fin,past,lex)	
mi	ik	pron(pers,1,sing)	
costen	kosten	v(infin)	
wel	wel	adv(gener)	
een	een	num(card)	
pont	pond	n(sing)

ende	en	conj(coord)	
ics	ik+dat	pron(pers,1,sing)+pron(dem)	
vroet	vroed	adj()	
ware	zijn	v(fin,past,aux_cop)	
teser	te+deze	adp()+pron(dem)	
stont	stond	n(sing)

mac	maken	v(imp)	
mi	ik	pron(pers,1,sing)	
dies	dat	pron(dem)	
in	in	adp()	
inne	in	n(sing)

mine	mijn	pron(poss)	
redene	reden	n(sing)	
bliuet	blijven	v(fin,pres,aux_cop)	
onghesont	ongezond	adj()

hennes	het+ne+zijn	pron(pers,3,sing)+adv(neg)+v(fin,pres,lex)	
wijsheit	wijsheid	n(sing)	
niet	niet	adv(neg)	
dinne	dun	adj()

naer+dat	nadat	conj(subord)	
ic	ik	pron(pers,1,sing)	
redene	reden	n(sing)	
kinne	kennen	v(fin,pres,lex)

martin	martijn	n(prop)	
du	du	pron(pers,2,sing)	
best	zijn	v(fin,pres,aux_cop)	
eene	een	art(indef)	
vri	vrij	adj()	
druut	druit	n(sing)

du	du	pron(pers,2,sing)	
spreex	spreken	v(fin,pres,lex)	
recht	recht	adv(gener)	
als	als	conj(subord)	
een	een	art(indef)	
vriese	Fries	n(prop)	
ruut	ruid	adj()

die	die	pron(rel)	
noch	nog	adv(gener)	
noit	nooit	adv(neg)	
en	ne	adv(neg)	
minde	minnen	v(fin,past,lex)

alre+hande	allerhande	adj()	
edele	edel	adj()	
fruut	fruit	n(sing)

comt	komen	v(fin,pres,lex)	
van	van	adp()	
minnen	min	n(sing)	
vut	uit	adv(gener)	
ende	en	conj(coord)	
vut	uit	adv(gener)

die	die	pron(rel)	
noit	nooit	adv(neg)	
dorper	dorper	n(sing)	
en	ne	adv(neg)	
kinde	kennen	v(fin,past,lex)

hem	hij	pron(pers,3,sing)	
can	kunnen	v(fin,pres,aux_cop)	
ghehelpen	gehelpen	v(infin)	
el	el	adj()	
gheen	geen	pron(indef)	
cruut	kruid	n(sing)

die	die	pron(rel)	
stille	stil	adv(gener)	
mint	minnen	v(fin,pres,lex)	
of	of	conj(coord)	
ouer+luut	overluid	adv(gener)	
dan	dan	conj(comp)	
hem	hij	pron(pers,3,sing)	
teuel	dat+euvel	art(def)+n(sing)	
toe+sinde	toezenden	v(fin,pres,lex)

der	de	art(def)	
herten	hart	n(sing)	
enter	en+de	conj(coord)+art(def)	
oghen	oog	n(plu)	
virtuut	virtuut	n(sing)

willic	willen+ik	v(fin,pres,lex)+pron(pers,1,sing)	
dat	dat	conj(subord)	
hier+mede	hiermede	pronadv(dem)	
si	zijn	v(fin,pres,aux_cop)	
beduut	beduiden	v(fin,pres,lex)

prouf	proeven	v(imp)	
of	of	conj(coord)	
ic	ik	pron(pers,1,sing)	
dit	dit	pron(dem)	
ontbinde	ontbinden	v(fin,pres,lex)

entie	en+de	conj(coord)+art(def)	
redene	reden	n(sing)	
bevinde	bevinden	v(fin,pres,lex)

een	een	art(indef)	
zwaer	zwaar	adj()	
orloghe	oorlog	n(sing)	
ende	en	conj(coord)	
een	een	art(indef)	
groet	groot	adj()	
strijt	strijd	n(sing)

ende	en	conj(coord)	
daer+toe	daartoe	pronadv(dem)	
een	een	art(indef)	
eewelijc	eeuwelijk	adj()	
nijt	nijd	n(sing)

es	zijn	v(fin,pres,aux_cop)	
tusschen	tussen	adp()	
der	de	art(def)	
herten	hart	n(sing)	
enten	en+de	conj(coord)+art(def)	
oghen	oog	n(plu)

therte	dat+hart	art(def)+n(sing)	
den	de	art(def)	
oghen	oog	n(plu)	
verwijt	verwijt	v(fin,pres,lex)

du	du	pron(pers,2,sing)	
best	zijn	v(fin,pres,aux_cop)	
die	die	pron(rel)	
mijns	ik	pron(pers,1,sing)	
niet	niet	adv(neg)	
ne	ne	adv(neg)	
vermijt	vermijden	v(fin,pres,lex)

bidi	bij+du	adp()+pron(pers,2,sing)	
bem	zijn	v(fin,pres,aux_cop)	
ic	ik	pron(pers,1,sing)	
bedroghen	bedriegen	v(participle,past)

du	du	pron(pers,2,sing)	
best	zijn	v(fin,pres,aux_cop)	
open	open	adj()	
talre	te+al	adp()+num(indef)	
tijt	tijd	n(sing)

elken	elk	num(indef)	
besonder	bijzonder	adv(gener)	
die	die	pron(rel)	
vordi	voor+du	adp()+pron(pers,3,sing)	
lijt	lijden	v(fin,pres,lex)

du	du	pron(pers,2,sing)	
best	zijn	v(fin,pres,aux_cop)	
vrient	vriend	n(sing)	
dits	dit+zijn	pron(dem)+v(fin,pres,aux_cop)	
gheloghen	liegen	v(participle,past)

sluut	sluiten	v(imp)	
dine	dijn	pron(poss)	
dore	deur	n(sing)	
teenegher	te+enig	adp()+pron(indef)	
tijt	tijd	n(sing)

daer	daar	adv(dem)	
menich	menig	num(indef)	
dief	dief	n(sing)	
voren	voor	adp()	
lijt	lijden	v(fin,pres,lex)

bidi	bij+du	adp()+pron(pers,2,sing)	
ben	zijn	v(fin,pres,aux_cop)	
ic	ik	pron(pers,1,sing)	
bedroghen	bedriegen	v(participle,past)

dies	dat	pron(dem)	
claghic	klagen+ik	v(fin,pres,lex)+pron(pers,1,sing)	
den	de	art(def)	
oghen	oog	n(plu)

vvapene	wapen	interj()	
vriendelijc	vriendelijk	adj()	
viant	vijand	n(sing)

dor	door	adp()	
di	du	pron(pers,2,sing)	
doghic	dogen+ik	v(fin,pres,lex)+pron(pers,1,sing)	
meneghen	menig	num(indef)	
pant	pand	n(sing)

ende	en	conj(coord)	
meneghe	menig	num(indef)	
coude	koude	n(sing)

wach	wach	interj()	
datti	dat+du	conj(subord)+pron(pers,2,sing)	
nature	natuur	n(sing)	
oit	ooit	adv(indef)	
vant	vinden	v(fin,past,lex)

waerdi	zijn+gij	v(fin,past,aux_cop)+pron(pers,2,plu)	
verboden	verbieden	v(participle,past)	
huus	huis	n(sing)	
ende	en	conj(coord)	
lant	land	n(sing)

ende	en	conj(coord)	
des	de	art(def)	
meinschen	mens	n(sing)	
houde	hulde	n(sing)

sone	zo+ne	adv(resum)+adv(neg)	
bonde	binden	v(fin,past,lex)	
mi	ik	pron(pers,1,sing)	
gheen	geen	pron(indef)	
bant	band	n(sing)

lichtre	licht	adj()	
ware	zijn	v(fin,past,aux_cop)	
dan	dan	conj(comp)	
een	een	art(indef)	
zant	zand	n(sing)

al+gader	algader	adv(gener)	
mine	mijn	pron(poss)	
scoude	schuld	n(sing)

men	men	pron(indef)	
stake	steken	v(fin,past,lex)	
bet	bet	adv(gener)	
vut	uit	v(prtcl)	
metter	met+de	adp()+art(def)	
hant	hand	n(sing)

ende	en	conj(coord)	
versmorde	versmoren	v(fin,past,lex)	
sulken	zulk	pron(dem)	
pant	pand	n(sing)

onder	onder	adp()	
donreene	de+onrein	art(def)+adj()	
moude	moude	n(sing)

vp+dat	opdat	conj(subord)	
nature	natuur	n(sing)	
woude	willen	v(fin,past,aux_cop)

therte	het+hart	art(def)+n(sing)	
zweech	zwijgen	v(fin,past,lex)	
ende	en	conj(coord)	
toghe	het+oog	art(def)+n(sing)	
sprac	spreken	v(fin,past,lex)

mi	ik	pron(pers,1,sing)	
dinct	dunken	v(fin,pres,aux_cop)	
dat	dat	conj(subord)	
hu	uw	pron(poss)	
sin	zin	n(sing)	
ghebrac	gebreken	v(fin,past,lex)

vrouwe	vrouw	n(sing)	
coninghinne	koningin	n(sing)

dat	dat	conj(subord)	
ghi	gij	pron(pers,2,plu)	
mi	ik	pron(pers,1,sing)	
tyet	tijgen	v(fin,pres,lex)	
